experiment,key,status,inputs_hash,restarted,wall_seconds,hostname,git_commit,barrier_kcal,category,charge,dataset_ts_energy_ev,dataset_ts_max_force,dataset_ts_n_imaginary,dataset_ts_omega,equation,exclusion_reason,irc_connects,n_integer_disagreements,natoms,p_energy_ev,p_max_force,p_relax_steps,p_relaxed,p_species,r_energy_ev,r_max_force,r_relax_steps,r_relaxed,r_species,reaction,reaction_energy_kcal,reverse_barrier_kcal,spin,spin_changes,ts_energy_ev,ts_max_force,ts_n_imaginary,ts_omega_imaginary,ts_refine_converged,ts_refine_gradient_calls,ts_refine_steps,ts_shift_rmsd_all,ts_shift_rmsd_heavy,verified,irc_forward_converged,irc_reverse_converged,excluded,barrier_error_kcal,bond_max_all_pairs,bond_max_ref_pairs,bond_rms_all_pairs,cphf_solves,drive_calls,drive_converged,drive_outcome,drive_steps,drive_target_error,energy_ev,energy_gap_kcal,highest_tier,idpp_rmsd_heavy,midpoint_rmsd_heavy,mode_overlap_bonds,mode_overlap_reference,n_imaginary,omega_imaginary,pes_residual_ev_ang,refine_converged,refine_displacement_rmsd,refine_gradient_calls,refine_steps,refined_n_imaginary,rmsd_all,rmsd_heavy,rung,tier_T0,tier_T1,tier_T2,tier_T3,tier_T4,count_calculate_calls,n_targets,rung_information,enumeration_truncated,n_correct,n_moves_enumerated,n_saddles,precision,recall,true_ts_rank_by_barrier,label,method,n_runs,total_pes_calls,mode,reference_mayer_deviation_from_half,reference_mayer_mean_fraction,tau,tier_label,endpoint_correct,expected_species,final_species,min_rmsd_to_ts,n_frames,overshoot_kcal,path_converged,path_outcome,peak_kcal,pes_calls,profile_scf_failures,reference_irc_frames,bond_thresh,n_edges,n_edges_with_product,n_nodes,n_verified,recall_denominator,recall_discovered,recall_verified,sector,seed,knob,value,basis,direct_cphf_solves,direct_seconds_median,discarded_gradient_fraction,energy_gradient_seconds,energy_only_seconds,formula,nbasis,speedup_direct_over_zvector,system,zvector_cphf_solves,zvector_seconds_median,zvector_vs_direct_max_abs,count_repeats
01_reference_states,rxn_01,ok,dc72870aca0eb03f,False,78.74996029213071,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,-125.43006464065785,oxygen,0,-4100.173996732266,2.9793911655333063,1,-1668.7565154590814,O + OH -> O2 + H,sella did not converge,False,1,3,-4101.352893101094,1.680611642211218,40,False,H + O2,-4093.336564267147,43.77243177029634,40,False,H + O2,rxn_01,-184.86093595577708,59.43087131511924,3,False,-4098.775726622483,9.081777760357847,1,-1001.9098087286735,False,45,40,0.1469923556480009,0.11361945793093152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_reference_states,rxn_03,ok,a8afe48c1713eae7,False,69.57952925004065,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,6.70305649725466,hydrogen,0,-2091.0496661089987,0.746337048420271,1,-1504.8687673852005,OH + H2 -> H2O + H,IRC did not connect the intended endpoints,False,0,4,-2091.582496037365,0.007647911188744319,16,True,H + H2O,-2091.3512816503235,0.0482761235582118,57,True,H2 + HO,rxn_03,-5.331930473457398,12.034986970712056,1,False,-2091.060609611925,0.011655183508573004,1,-1482.3646719641185,True,9,2,0.02494533404195835,0.0,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_ts_single_ended,rxn_01,skipped,8a5f80b908730e53,False,0.014453709125518799,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,,,,,,,,no verified reference from E01,,,,,,,,,,,,,,rxn_01,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_ts_single_ended,rxn_03,ok,9832edeba1b21b1a,False,31.713561666896567,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,-9.962386962554782e-09,hydrogen,,,,,,OH + H2 -> H2O + H,,False,,,,,,,,,,,,,rxn_03,,,,False,,,,,,,,,,,,,,-6.703056507217047,0.44882240833200926,0.44882240833200926,0.2525234248378209,1,1,True,flat_gradient_stall,0,0.49214820833200923,-2091.3512816507555,6.703056507217046,1,0.3221199376595335,0.3221199376595335,0.22720376886418392,0.6115677632146891,1,-50.87185195843638,0.04827606805766162,True,0.15806314710465458,23,15,1,0.5426061103801303,0.5426061103801303,L1,True,True,False,True,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_information_ladder,rxn_01-L0,ok,6c002185d18c9240,False,52.11466912482865,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,-155.39649898164788,oxygen,,,,,,,,True,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,-29.966434340990034,0.27350062105047257,0.27350062105047257,0.16652056470853485,,30,,converged,28,0.1070990605235973,-4100.075194194776,29.96643434099004,4,,,0.07455920543889336,0.011713783075832974,1,-1768.0345013169872,2.3479804819955654,True,0.051220676409792734,6,3,1,0.1374952461349493,0.092728516885832,L0,True,True,True,True,True,,2,reference R and P bond-order matrices (not single-ended),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_information_ladder,rxn_01-L1,ok,45e4db92ec2c79f1,False,79.58557825000025,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,268.52772308025123,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,393.9577877209091,0.4679973387863041,0.4679973387863041,0.2872429157273431,,29,,flat_gradient_stall,27,0.4964178100795756,-4081.6921001833052,393.9577877209091,2,,,2.8451868110960434e-06,0.7716635147183365,2,-1593.4383640666342,148.03222964542422,False,0.6067389082291709,60,30,,0.1648941880105521,0.18006823197173102,L1,True,True,True,False,False,,2,the chemical equation: integer Lewis orders and the atom mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_information_ladder,rxn_01-L2,ok,7ca2976cc76a189a,False,99.49198775016703,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L2,,,,,,,,"the reactant alone, plus enumerated bond rearrangements",False,0,2,0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_ts_baselines,rxn_01-B0a,ok,2b9e5185ed258131,False,21.773960791993886,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,False,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,1257.3343482579821,,,,,,,,,,,,-1,,,,,1,,,,,,,,,0.2166165220470888,L0,False,False,True,True,False,,,,,,,,,,,Cartesian midpoint,B0a,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_ts_baselines,rxn_01-B0b,ok,159bd7a2d2465187,False,20.716439083917066,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,False,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,1257.3343482580242,,,,,,,,,,,,-1,,,,,1,,,,,,,,,0.2166165220470888,L0,False,False,True,True,False,,,,,,,,,,,IDPP midpoint,B0b,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04_ts_baselines,rxn_01-B1,ok,40856d05b1f43b8c,False,32.44389641704038,wifi-10-44-166-226.wifi.berkeley.edu,b2d810fac630583d557c8d314eb6e18040b8e547,,oxygen,,,,,,,,,,,,,,,,,,,,,rxn_01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1,,,,,,,,,,,,,,,,Dimer (bond direction),B1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
