experiment,key,status,inputs_hash,restarted,wall_seconds,hostname,git_commit,group,tier,passed,trials,rate,wilson_low,wilson_high
01_reference_states,,,,,,,,-,T0,0,2,0.0,0.0,0.6576280471103807
01_reference_states,,,,,,,,-,T1,0,2,0.0,0.0,0.6576280471103807
01_reference_states,,,,,,,,-,T2,0,2,0.0,0.0,0.6576280471103807
01_reference_states,,,,,,,,-,T3,0,2,0.0,0.0,0.6576280471103807
01_reference_states,,,,,,,,-,T4,0,2,0.0,0.0,0.6576280471103807
02_ts_single_ended,,,,,,,,L1,T0,1,1,1.0,0.20654329147389294,1.0
02_ts_single_ended,,,,,,,,L1,T1,1,1,1.0,0.20654329147389294,1.0
02_ts_single_ended,,,,,,,,L1,T2,0,1,0.0,0.0,0.7934567085261071
02_ts_single_ended,,,,,,,,L1,T3,1,1,1.0,0.20654329147389294,1.0
02_ts_single_ended,,,,,,,,L1,T4,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L0,T0,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L0,T1,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L0,T2,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L0,T3,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L0,T4,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L1,T0,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L1,T1,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L1,T2,1,1,1.0,0.20654329147389294,1.0
03_information_ladder,,,,,,,,L1,T3,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L1,T4,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L2,T0,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L2,T1,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L2,T2,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L2,T3,0,1,0.0,0.0,0.7934567085261071
03_information_ladder,,,,,,,,L2,T4,0,1,0.0,0.0,0.7934567085261071
04_ts_baselines,,,,,,,,L0,T0,0,3,0.0,0.0,0.5615060804490177
04_ts_baselines,,,,,,,,L0,T1,0,3,0.0,0.0,0.5615060804490177
04_ts_baselines,,,,,,,,L0,T2,3,3,1.0,0.43849391955098227,1.0
04_ts_baselines,,,,,,,,L0,T3,2,3,0.6666666666666666,0.2076549551264879,0.9385096847238394
04_ts_baselines,,,,,,,,L0,T4,0,3,0.0,0.0,0.5615060804490177
04_ts_baselines,,,,,,,,L1,T0,1,2,0.5,0.09452865480086614,0.9054713451991339
04_ts_baselines,,,,,,,,L1,T1,1,2,0.5,0.09452865480086614,0.9054713451991339
04_ts_baselines,,,,,,,,L1,T2,1,2,0.5,0.09452865480086614,0.9054713451991339
04_ts_baselines,,,,,,,,L1,T3,0,2,0.0,0.0,0.6576280471103807
04_ts_baselines,,,,,,,,L1,T4,0,2,0.0,0.0,0.6576280471103807
04_ts_baselines,,,,,,,,L2,T0,0,2,0.0,0.0,0.6576280471103807
04_ts_baselines,,,,,,,,L2,T1,0,2,0.0,0.0,0.6576280471103807
04_ts_baselines,,,,,,,,L2,T2,0,2,0.0,0.0,0.6576280471103807
04_ts_baselines,,,,,,,,L2,T3,0,2,0.0,0.0,0.6576280471103807
04_ts_baselines,,,,,,,,L2,T4,0,2,0.0,0.0,0.6576280471103807
05_target_sharpness,,,,,,,,-,T0,2,2,1.0,0.34237195288961925,1.0
05_target_sharpness,,,,,,,,-,T1,2,2,1.0,0.34237195288961925,1.0
05_target_sharpness,,,,,,,,-,T2,0,2,0.0,0.0,0.6576280471103807
05_target_sharpness,,,,,,,,-,T3,2,2,1.0,0.34237195288961925,1.0
05_target_sharpness,,,,,,,,-,T4,0,2,0.0,0.0,0.6576280471103807
06_path_vs_irc,,,,,,,,bondspace,T0,0,1,0.0,0.0,0.7934567085261071
06_path_vs_irc,,,,,,,,bondspace,T1,0,1,0.0,0.0,0.7934567085261071
06_path_vs_irc,,,,,,,,bondspace,T2,0,1,0.0,0.0,0.7934567085261071
06_path_vs_irc,,,,,,,,bondspace,T3,0,1,0.0,0.0,0.7934567085261071
06_path_vs_irc,,,,,,,,bondspace,T4,0,1,0.0,0.0,0.7934567085261071
06_path_vs_irc,,,,,,,,linear,T0,0,1,0.0,0.0,0.7934567085261071
